ID,Title,Category,Release_Date,Rating,Duration,Country,Data_Quality_Notes
219,Unknown Title,Tv Show,2018-07-20,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
220,Jaws,Movie,,R,120 min,India,"Cleaned missing values, standardized text & formats"
221,Avatar,Film,,PG-13,90 min,Unknown,"Cleaned missing values, standardized text & formats"
222,Avatar,Tv Show,,R,90 min,India,"Cleaned missing values, standardized text & formats"
223,The Dark Knight,Film,,NR,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
224,Titanic,Film,2019-01-01,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
225,Inception,Tv Show,,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
226,Inception,Tv Show,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
227,Interstellar,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
228,The Dark Knight,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
229,The Matrix,Unknown,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
230,Interstellar,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
231,The Dark Knight,Unknown,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
232,Titanic,Unknown,,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
233,Titanic,Movie,,PG-13,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
234,Titanic,Tv Show,2019-01-01,NOT RATED,90 min,U.S.A,Invalid date format
235,Titanic,Film,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
236,Titanic,Film,2019-01-01,PG,,United States,"Cleaned missing values, standardized text & formats"
237,The Dark Knight,Film,,PG-13,1 Season,Uk,"Cleaned missing values, standardized text & formats"
238,The Dark Knight,Tv Show,,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
239,Avatar,Movie,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
240,Unknown Title,Tv Show,,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
241,Inception,Tv Show,2018-07-20,NR,,Unknown,"Cleaned missing values, standardized text & formats"
242,Jaws,Movie,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
243,Titanic,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
244,The Matrix,Unknown,2019-01-01,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
245,Jaws,Tv Show,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
246,The Dark Knight,Tv Show,2019-01-01,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
247,The Matrix,Film,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
248,The Matrix,Tv Show,,R,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
249,The Matrix,Unknown,2019-01-01,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
250,Avatar,Unknown,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
251,The Dark Knight,Movie,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
252,The Matrix,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
253,Titanic,Film,,R,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
254,Interstellar,Tv Show,,NR,120 min,Unknown,"Cleaned missing values, standardized text & formats"
255,The Matrix,Movie,2018-07-20,NOT RATED,1 Season,U.S.A,Invalid date format
256,Avatar,Movie,,PG-13,1 Season,United States,"Cleaned missing values, standardized text & formats"
257,Jaws,Film,,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
258,The Dark Knight,Movie,,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
259,Unknown Title,Movie,,NOT RATED,90 min,Uk,"Cleaned missing values, standardized text & formats"
260,Avatar,Unknown,2019-01-01,PG,120 min,India,"Cleaned missing values, standardized text & formats"
261,The Matrix,Unknown,2019-01-01,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
262,The Dark Knight,Tv Show,2019-01-01,PG,90 min,India,Data looks clean
263,Interstellar,Film,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
264,The Matrix,Tv Show,2019-01-01,PG,90 min,India,Invalid date format
265,Avatar,Film,2019-01-01,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
266,Inception,Tv Show,2018-07-20,PG,2 Seasons,Uk,Rating values inconsistent
267,Titanic,Unknown,2019-01-01,PG-13,90 min,United States,"Cleaned missing values, standardized text & formats"
268,Unknown Title,Film,,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
269,Jaws,Film,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
270,Avatar,Unknown,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
271,The Dark Knight,Tv Show,2018-07-20,NOT RATED,1 Season,U.S.A,Invalid date format
272,Unknown Title,Unknown,,PG-13,,India,"Cleaned missing values, standardized text & formats"
273,Unknown Title,Movie,,R,90 min,Uk,"Cleaned missing values, standardized text & formats"
274,Unknown Title,Tv Show,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
275,The Matrix,Unknown,2019-01-01,PG-13,,Uk,"Cleaned missing values, standardized text & formats"
276,Titanic,Tv Show,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
277,The Matrix,Movie,2019-01-01,NOT RATED,120 min,United States,Invalid date format
278,The Dark Knight,Movie,2019-01-01,NR,90 min,U.S.A,Data looks clean
279,The Matrix,Movie,,NR,,Unknown,"Cleaned missing values, standardized text & formats"
280,Inception,Unknown,2019-01-01,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
281,Titanic,Movie,2018-07-20,NOT RATED,2 Seasons,India,Data looks clean
282,Titanic,Tv Show,2018-07-20,R,,India,"Cleaned missing values, standardized text & formats"
283,The Dark Knight,Unknown,2018-07-20,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
284,Jaws,Tv Show,,PG-13,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
285,Inception,Film,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
286,Avatar,Movie,,R,,India,"Cleaned missing values, standardized text & formats"
287,The Matrix,Movie,2019-01-01,PG-13,,India,"Cleaned missing values, standardized text & formats"
288,Interstellar,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
289,The Matrix,Tv Show,,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
290,Unknown Title,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
291,The Matrix,Tv Show,,PG-13,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
292,Avatar,Unknown,2018-07-20,NOT RATED,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
293,The Matrix,Movie,2018-07-20,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
294,Inception,Tv Show,,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
295,Inception,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
296,Titanic,Movie,,PG-13,,United States,"Cleaned missing values, standardized text & formats"
297,The Dark Knight,Tv Show,2019-01-01,R,120 min,India,Invalid date format
298,Jaws,Tv Show,2018-07-20,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
299,Interstellar,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
300,Unknown Title,Movie,,R,120 min,India,"Cleaned missing values, standardized text & formats"
301,The Matrix,Unknown,2018-07-20,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
302,The Matrix,Film,2019-01-01,PG-13,90 min,India,Rating values inconsistent
303,Avatar,Tv Show,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
304,The Dark Knight,Movie,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
305,Inception,Unknown,2018-07-20,PG,,Unknown,"Cleaned missing values, standardized text & formats"
306,Interstellar,Movie,,PG,,Uk,"Cleaned missing values, standardized text & formats"
307,Titanic,Tv Show,2019-01-01,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
308,Inception,Film,2019-01-01,NR,90 min,U.S.A,Data looks clean
309,Unknown Title,Unknown,2018-07-20,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
310,The Dark Knight,Film,,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
311,Unknown Title,Movie,2019-01-01,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
312,Jaws,Movie,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
313,Titanic,Tv Show,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
314,Jaws,Tv Show,,PG-13,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
315,Avatar,Movie,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
